location name,nws shef id,usgs id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,action stage,flood stage,moderate flood stage,major flood stage,flood stage unit,coeid,hydrograph page,pedts,in service,hemisphere,low water threshold value / units,forecast status,display low water impacts,low flow display,give data attribution,attribution wording,fema wms,probabilistic site,weekly chance probabilistic enabled,short-term probabilistic enabled,chance of exceeding probabilistic enabled,nrldb vertical datum name,nrldb vertical datum,navd88 vertical datum,ngvd29 vertical datum,msl vertical datum,other vertical datum
South Fork Beargrass Creek near Audubon Park,ABPK2,3292500,38.21138889,-85.7025,LMK,OHRFC,KY,Jefferson,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ABPK2,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NGVD29,448.6,,,,
Backlick Run at Armistead Boothe Park,ABPV2,,38.80388889,-77.12833333,LWX,MARFC,VA,City of Alexandria,,EST5EDT,FALSE,,7,9,-9999,-9999,ft,,https://water.noaa.gov/gauges/ABPV2,HGIRR,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Rio Grande at Albuquerque,ABQN5,8330000,35.08916667,-106.6805556,ABQ,WGRFC,NM,Bernalillo,,MST7MDT,FALSE,,8,8,10,12.5,ft,,https://water.noaa.gov/gauges/ABQN5,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NGVD29,4946.16,,,,
Little Nemaha River near Auburn,ABRN1,6811500,40.392805,-95.81268,OAX,MBRFC,NE,Nemaha,,CST6CDT,FALSE,,20,22,23,27,ft,,https://water.noaa.gov/gauges/ABRN1,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,Observations courtesy of the USGS,,TRUE,TRUE,TRUE,TRUE,NGVD29,889.87,,,,
Wild Rice River (ND) near Abercrombie,ABRN8,5053000,46.47055556,-96.78194444,FGF,NCRFC,ND,Richland,,CST6CDT,FALSE,,17,20,22,28,ft,,https://water.noaa.gov/gauges/ABRN8,HGIRP,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,898.88,,,,
Cheat River at Albright,ABRW2,3070260,39.49472222,-79.64472222,PBZ,OHRFC,WV,Preston,,EST5EDT,FALSE,,24,27,30,32,ft,,https://water.noaa.gov/gauges/ABRW2,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,1173.7,,,,
Absecon Creek at Absecon,ABSN4,1410500,39.43027778,-74.52055556,PHI,MARFC,NJ,Atlantic,,GMT0GMT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ABSN4,HPIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NGVD29,0,,,,
East Fork Whitewater River at Abington,ABTI3,3275600,39.7325477,-84.9596837,ILN,OHRFC,IN,Wayne,,EST5EDT,FALSE,,11,14,18,22,ft,,https://water.noaa.gov/gauges/ABTI3,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,Observations courtesy of U.S. Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,790.03,,,,
Kingsbury Stream at Abbot Village,ABTM1,1031450,45.18444444,-69.45222222,CAR,NERFC,ME,Piscataquis,,EST5EDT,FALSE,,16.5,17,18,-9999,ft,,https://water.noaa.gov/gauges/ABTM1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NGVD29,423,,,,
Barton Creek at Loop 360,ABTT2,8155300,30.24444444,-97.80194444,EWX,WGRFC,TX,Travis,,CST6CDT,FALSE,,8,8,11,12,ft,,https://water.noaa.gov/gauges/ABTT2,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,511.11,,,,
Bull Creek above Loop 360,ABUT2,8154700,30.37194444,-97.78444444,EWX,WGRFC,TX,Travis,,CST6CDT,FALSE,,5,5,5,9,ft,,https://water.noaa.gov/gauges/ABUT2,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,535.05,,,,
Clear Fork Brazos River near Fort Griffin,ABYT2,8085500,32.932978,-99.215389,SJT,WGRFC,TX,Shackelford,,CST6CDT,FALSE,,31,35,45,49,ft,,https://water.noaa.gov/gauges/ABYT2,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
Asotin Creek at Asotin,ACAW1,13335050,46.34072,-117.05599,OTX,NWRFC,WA,Asotin,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACAW1,HGIRG,TRUE,,1.5 ft,Forecasts are not available. Only observed stages are available for this point.,FALSE,TRUE,TRUE,,,FALSE,FALSE,FALSE,FALSE,NGVD29,742.57,,,,
Alameda Creek below Div Dam near Sunol,ACBC1,11172955,37.4986111,-121.7794444,MTR,CNRFC,CA,Alameda,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACBC1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
Anderson Creek at Curwensville,ACCP1,1541248,40.9752,-78.5305,CTP,MARFC,PA,Clearfield,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACCP1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,1136.9,,,,
Middle Oconee River near Arcade,ACDG1,2217475,34.03166667,-83.56333333,FFC,SERFC,GA,Jackson,,EST5EDT,FALSE,,15,16,21,27,ft,,https://water.noaa.gov/gauges/ACDG1,HGIRG,TRUE,,0 ft,"Forecasts are issued as needed during times of high water, but are not routinely available.",TRUE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,656.4,,,,
Deep Fork River at Arcadia Lake,ACDO2,7242340,35.64839,-97.36337,OUN,ABRFC,OK,Oklahoma,,CST6CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACDO2,HPIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,U.S. Army Corps of Engineers,,FALSE,FALSE,FALSE,FALSE,NGVD29,0,,,,
Almaden-Calero Canal at Almaden Reservoir,ACEC1,,37.1656,-121.8281,MTR,CNRFC,CA,Santa Clara,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACEC1,HGIRG,FALSE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,SCVWD,,FALSE,FALSE,FALSE,FALSE,,,,,,
San Diego Creek at Alice,ACET2,8211800,27.76663889,-98.07555556,CRP,WGRFC,TX,Jim Wells,,CST6CDT,FALSE,,11,11,13,15,ft,,https://water.noaa.gov/gauges/ACET2,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,TRUE,FALSE,NAVD88,192,,,,
St. Pierre Creek near Edisto Beach (IN MLLW),ACFS1,,32.528,-80.36144,CHS,SERFC,SC,Charleston,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACFS1,HMIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,NERRS,,FALSE,FALSE,FALSE,FALSE,MLLW*,0,,,,
Cumberland River at Ashland City,ACIT1,3431790,36.27055556,-87.07611111,OHX,OHRFC,TN,Cheatham,,CST6CDT,FALSE,,24,28,32,36,ft,,https://water.noaa.gov/gauges/ACIT1,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,367.04,,,,
Antelope Creek (ID) near Darlington,ACKI1,13131000,43.73333,-113.51472,PIH,NWRFC,ID,Custer,,MST7MDT,FALSE,,5.5,6,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACKI1,HGIRG,TRUE,,0 ft,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,5873.98,,,,
Abernathy Creek near Longview,ACLW1,,46.19527778,-123.1655556,PQR,NWRFC,WA,Cowlitz,,GMT0GMT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACLW1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,WA Department of Ecology,,FALSE,FALSE,FALSE,FALSE,,,,,,
Arroyo Corte Madera del Presidio  ,ACMC1,,37.8975,-122.5361111,MTR,CNRFC,CA,Marin,,PST8PDT,FALSE,,6,8,10,12,ft,,https://water.noaa.gov/gauges/ACMC1,HGIRR,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,County of Marin,,FALSE,FALSE,FALSE,FALSE,,,,,,
Black River at Acme,ACML1,,31.26777778,-91.83083333,JAN,LMRFC,LA,Concordia,,CST6CDT,FALSE,,47,48,52,58,ft,,https://water.noaa.gov/gauges/ACML1,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,U.S. Army Corps of Engineers,,TRUE,TRUE,FALSE,TRUE,,,,,,
Pecos River below Acme,ACMN5,8386000,33.57185556,-104.3736028,ABQ,WGRFC,NM,Chaves,,MST7MDT,FALSE,,12,13,14.5,16,ft,,https://water.noaa.gov/gauges/ACMN5,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
Allegheny River at C.W. Bill Young Lock and Dam,ACMP1,3049640,40.53611111,-79.815,PBZ,OHRFC,PA,Allegheny,,EST5EDT,FALSE,,15,17,20,23,ft,,https://water.noaa.gov/gauges/ACMP1,HPIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Army Corps of Engineers,,TRUE,TRUE,TRUE,TRUE,NAVD88,725.2,,,,
Andrews Creek near Mazama,ACMW1,12447390,48.8229,-120.1459,OTX,NWRFC,WA,Okanogan,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACMW1,HGIRG,TRUE,,0 ft,Forecasts are not available. Only observed stages are available for this point.,FALSE,TRUE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NGVD29,4300,,,,
Alligator Creek near Garfield Bight,ACNF1,,25.17555556,-80.7927778,MFL,SERFC,FL,Miami-Dade,,EST5EDT,FALSE,,-9999,2,3,4,ft,,https://water.noaa.gov/gauges/ACNF1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,Observations courtesy of US Geological Service,,FALSE,FALSE,FALSE,FALSE,,,,,,
Northwest Branch Anacostia River near Hyattsville,ACOM2,1651000,38.95222222,-76.96611111,LWX,MARFC,MD,Prince Georges,,EST5EDT,FALSE,,8,9.5,13,18,ft,,https://water.noaa.gov/gauges/ACOM2,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,16.35,,,,
Almaden-Calero Canal at Calero Reservoir,ACQC1,,37.1808,-121.7916,MTR,CNRFC,CA,Santa Clara,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACQC1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,SCVWD,,FALSE,FALSE,FALSE,FALSE,,,,,,
Alum Creek at Alum Creek Lake,ACRO1,3228804,40.18422937,-82.9637934,ILN,OHRFC,OH,Delaware,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACRO1,HPIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
Abernethy Creek near Redland,ACRO3,,45.32638889,-122.5088889,PQR,NWRFC,OR,Clackamas,,GMT0GMT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACRO3,HGIRZ,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Colorado River (TX) at Austin,ACRT2,8158000,30.24611111,-97.68,EWX,WGRFC,TX,Travis,,CST6CDT,FALSE,,25,33,38,42,ft,,https://water.noaa.gov/gauges/ACRT2,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
Cameron Run at Alexandria,ACRV2,,38.80638889,-77.11,LWX,MARFC,VA,City of Alexandria,,EST5CDT,FALSE,,6,9.5,11,13,ft,,https://water.noaa.gov/gauges/ACRV2,HGIRG,FALSE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,22.5,,,,
Alpowa Creek at Mouth,ACRW1,,46.41222222,-117.2133333,OTX,NWRFC,WA,Asotin,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACRW1,HGIRG,TRUE,,0 ft,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,35K050,,FALSE,FALSE,FALSE,FALSE,,,,,,
San Antonio Creek near Sunol,ACSC1,11174000,37.577434,-121.857734,MTR,CNRFC,CA,Alameda,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACSC1,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
Anthracite Creek Above Mouth near Somerset,ACSC2,9132095,38.9372,-107.3583,GJT,CBRFC,CO,Gunnison,,MST7MDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACSC2,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,Observations courtesy of U.S. Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
Alligator Creek at Starke,ACSF1,,29.93694444,-82.11527778,JAX,SERFC,FL,Bradford,,EST5EDT,FALSE,,141,144,146,148,ft,,https://water.noaa.gov/gauges/ACSF1,HGIRP,TRUE,,135 ft,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,SRWMD,,FALSE,FALSE,FALSE,FALSE,,,,,,
Sycamore Creek near Ashland City,ACST1,3431800,36.32,-87.05111111,OHX,OHRFC,TN,Cheatham,,CST6CDT,FALSE,,10,14,17,20,ft,,https://water.noaa.gov/gauges/ACST1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Army Corps of Engineers,,FALSE,FALSE,FALSE,FALSE,NAVD88,411.87,,,,
Buck Creek (IN) at Acton,ACTI3,3361850,39.65694444,-85.9575,IND,OHRFC,IN,Marion,,EST5EDT,FALSE,,7,9,14,18,ft,,https://water.noaa.gov/gauges/ACTI3,HGIRG,TRUE,,2.2 cfs,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,756.76,,,,
North Texas Lakes at Waco Lake,ACTT2,8095550,31.57944444,-97.1975,FWD,WGRFC,TX,McLennan,,CST6CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACTT2,HPIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
Atherton Channel   upstream of Caltrain,ACUC1,,37.4619,-122.1938,MTR,CNRFC,CA,San Mateo,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACUC1,HGIRR,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,
Waccamaw River above Conway,ACWS1,2110550,33.85083333,-78.89722222,ILM,SERFC,SC,Horry,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ACWS1,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
